date,avg_sentiment
2015-01-07,0.018990347161889076
2015-01-10,0.20544336084276438
2015-01-15,0.5891441032290459
2015-01-28,-0.15779514610767365
2015-01-29,0.06347201764583588
2015-02-28,0.21268908120691776
2015-03-02,0.7580443965271115
2015-03-03,-0.3731902288272977
2015-04-08,0.030767773278057575
2015-04-13,0.6285781851038337
2015-04-26,0.0277879498898983
2015-04-30,0.14437631703913212
2015-05-12,0.27658622711896896
2015-06-16,0.742498661391437
2015-08-05,0.52437330968678
2015-08-26,-0.16136033833026886
2015-09-01,0.40680283959954977
2015-09-03,-0.5954828821122646
2015-09-08,0.04236050322651863
2015-09-09,-0.7760893926024437
2015-09-17,-0.6144327614456415
2015-09-20,-0.09489988535642624
2015-09-21,-0.40893940938015777
2015-09-25,0.26811486203223467
2015-10-01,0.10609721206128597
2015-10-25,0.16701263189315796
2015-11-24,0.02927876077592373
2015-12-09,0.0392412468791008
2015-12-11,0.1880578277632594
2015-12-17,0.13916481379419565
2015-12-30,0.0312735578045249
2016-01-05,0.5864297836087644
2016-01-07,-0.2227115035057068
2016-01-13,0.15459616668522358
2016-01-15,-0.9470027629286051
2016-01-18,0.07132886350154877
2016-01-19,0.854695450514555
2016-01-28,0.09104585368186235
2016-02-01,0.10098231863230467
2016-02-09,-0.24213135242462158
2016-02-10,0.28005487378686666
2016-02-11,0.09392204601317644
2016-02-12,0.29143676348030567
2016-02-17,-0.20967939496040344
2016-02-19,0.1293915199736754
2016-02-22,0.5126287788152695
2016-02-24,-0.7153436560183764
2016-02-27,0.02723201084882021
2016-03-01,0.04845668189227581
2016-03-08,-0.013927973806858063
2016-03-09,0.032670995220541954
2016-03-16,-0.19910724833607674
2016-03-17,-0.13837022334337234
2016-03-22,0.04809389170259237
2016-03-24,0.1006604190915823
2016-03-28,0.1994941383600235
2016-03-29,0.009493065997958183
2016-04-01,0.028865222819149494
2016-04-04,-0.9430638812482357
2016-04-14,0.3513051411136985
2016-04-16,-0.9356496939435601
2016-04-19,0.9237974584102631
2016-05-16,0.04592706449329853
2016-05-17,0.04491639416664839
