timestamp,open,high,low,close,volume
2015-01-02 14:30:00,111.39,111.44,110.629,110.861,3846731
2015-01-02 14:45:00,110.86,110.86,108.65,109.51,6487368
2015-01-02 15:00:00,109.49,109.71,109.2,109.4301,2926205
2015-01-02 15:15:00,109.435,109.47,108.77,109.105,3096434
2015-01-02 15:30:00,109.13,109.15,107.35,107.7299,4217519
2015-01-02 15:45:00,107.73,108.49,107.57,108.285,3101075
2015-01-02 16:00:00,108.29,108.331,107.85,108.09,2205213
2015-01-02 16:15:00,108.1,108.441,107.9286,108.369,1816069
2015-01-02 16:30:00,108.36,108.55,108.21,108.23,1431837
2015-01-02 16:45:00,108.24,108.79,108.23,108.7761,1432505
2015-01-02 17:00:00,108.77,109.11,108.755,108.98,1619090
2015-01-02 17:15:00,108.979,109.23,108.8718,109.18,1298968
2015-01-02 17:30:00,109.19,109.59,109.19,109.395,1479327
2015-01-02 17:45:00,109.395,109.5301,109.18,109.355,957647
2015-01-02 18:00:00,109.355,109.47,109.07,109.08,914549
2015-01-02 18:15:00,109.08,109.27,108.92,108.98,1016341
2015-01-02 18:30:00,108.97,109.16,108.811,109.0,943778
2015-01-02 18:45:00,109.005,109.14,108.75,108.99,1009074
2015-01-02 19:00:00,108.995,109.25,108.9,109.09,786407
2015-01-02 19:15:00,109.08,109.36,108.98,109.1998,871522
2015-01-02 19:30:00,109.19,109.33,109.06,109.24,786291
2015-01-02 19:45:00,109.24,109.38,109.0,109.075,882868
2015-01-02 20:00:00,109.08,109.16,108.69,108.795,1068379
2015-01-02 20:15:00,108.8,109.06,108.79,108.97,1047548
2015-01-02 20:30:00,108.97,109.55,108.92,109.24,1791769
2015-01-02 20:45:00,109.24,109.51,109.22,109.3,3008045
2015-01-05 14:30:00,108.29,108.65,107.62,108.42,5138414
2015-01-05 14:45:00,108.42,108.52,107.41,107.5746,3214074
2015-01-05 15:00:00,107.57,108.07,107.33,107.96,2524179
2015-01-05 15:15:00,107.96,108.19,107.71,107.96,1728995
2015-01-05 15:30:00,107.96,107.96,107.42,107.4855,2108542
2015-01-05 15:45:00,107.48,108.11,107.41,107.42,1759804
2015-01-05 16:00:00,107.425,108.3,107.18,107.318,2045360
2015-01-05 16:15:00,107.31,107.34,106.66,106.78,3397104
2015-01-05 16:30:00,106.775,106.97,106.64,106.8999,1930668
2015-01-05 16:45:00,106.89,106.975,106.55,106.8733,1818262
2015-01-05 17:00:00,106.87,106.98,106.75,106.7601,1166201
2015-01-05 17:15:00,106.7699,106.83,106.58,106.62,1270519
2015-01-05 17:30:00,106.62,106.92,106.47,106.87,1760579
2015-01-05 17:45:00,106.8699,106.89,106.44,106.675,1119091
2015-01-05 18:00:00,106.67,106.75,106.42,106.47,1218526
2015-01-05 18:15:00,106.47,106.58,106.3,106.415,1085492
2015-01-05 18:30:00,106.42,106.67,106.36,106.485,1065122
2015-01-05 18:45:00,106.48,106.68,106.38,106.4035,1062237
2015-01-05 19:00:00,106.4,106.52,106.09,106.1299,1574314
2015-01-05 19:15:00,106.12,106.195,105.81,105.92,2680559
2015-01-05 19:30:00,105.93,105.99,105.7,105.71,1557947
2015-01-05 19:45:00,105.72,105.8,105.41,105.635,2139700
2015-01-05 20:00:00,105.63,106.049,105.52,106.0325,1952619
2015-01-05 20:15:00,106.03,106.23,105.79,106.05,1730691
2015-01-05 20:30:00,106.04,106.25,105.84,106.23,1946404
2015-01-05 20:45:00,106.24,106.53,106.02,106.25,4241158
2015-01-06 14:30:00,106.54,106.76,105.45,105.53,4127927
2015-01-06 14:45:00,105.54,106.15,105.28,105.63,3307775
2015-01-06 15:00:00,105.63,106.35,105.5,106.28,2847516
2015-01-06 15:15:00,106.292,107.2,106.13,107.015,3371672
